jobTitle,preferredjobs
"Any other job available,Truck driver,Mechanic","Mechanic, Driver, Any other job"
"Panel Beater","Panel Beater"
"Teaching assistance,delivery driver / hot food,chef","Driving, Chef, Work from home"
"environmental assistant,porter,Poultry catcher","physical, Driving"
"Warehouse,Security Guard","Call Centre, Customer Service, Security"
"Supervisor,Sales assistant,Sales greeter",
"Warehouse,Cleaner","Cleaner, Warehouse, Hairdresser, Dental Assistant"
"Operative line",
"warehouse operative","warehouse operative, drainage fitting"
Racking,"Racking, Construction"
"Sportsman - cricket player","Security job, Retail"
"Care assistant,Senior carer,Senior carer","Catering assistant, Catering assistant, Catering assistant"
,"Cleaning job, Picking/packing, School dinner lady"
"Cyber Security Risk Analyst,Office Administrator","IT, Cyber Security, Digital Apprenticeship, Taxi Driver, Courier, Security, Delivery Driver, Office Job, Driving Job"
,Childcare
,"Cleaning, Dinner Lady"
Sheppard,"Bakers, Supermarket"
"Machine Operator,Maintenance",
,"Electrical Engineer, Sale retail, Smart Meter"
,"Cleaner, Warehouse, Retail"
,"Hospitality, Cafe"
"Railways,Plastering,Warehouse,Bricklaying","Trades, Construction"
"Apprentice patient services administrator,Team member,Housekeeper","Freight, Medical receptionist"
"ISMS Manager,Service Delivery Manager,ITIL Manager","Service Delivery Manager, Cyber Security Consultant, Service Management Consultant, IT Manager, GRC Consultant"
,"Packing operavite"
"Warehouse Op",
"Mobile catering",
"Supervisory Hygiene operator,Gardener,Textile Designer,Supermarket Manager","Hygiene Supervisor, Warehouse Operative"
"Pupil Escort,pupil escort",
"Safe Ways coach cleaner.,Restaraunt/cafe Asian,Captain Thornton apprenticship fryer","Cook/ hospitality, Bar work, Retail"
,"shop assistant, care assistant, domestic cleaner"
"Picker/ packer",
,"Vehicle repairs, Vehicle delivery"
"Probation officer",
Labourer,"Warehouse, Labour"
"Pub work",
,"Nursery Practitioner, Teaching Assistant, Support/Care Assistant"
"Cleaner,Crew member","Retail and hospitality, Cleaner"
Welding,"Warehouse Operative, Welding"
Gardener,"Ground work"
"Customer Care Consultant,Sales Manager,Consulting services manager","Sales Manager, Customer Consultant, Administrator"
"Kitchen Porter",
"Sorting clothes /till work Volunteer",
"Surveyor - surveying Engineering,Graphic designer","Surveyor and Geometric Engineer, Cadastral surveyor, Cartographer"
"Sandwich artist,Waiter,Team member,Picker/packer NEXT PLC,KFC team member,TGI Fridays bar tender",
"Delivery driver","Delivery Driver"
"Security Guard","Warehouse, Cleaning, Lorry driving, Bus driver"
DJ,DJ
"contract cleaner",cleaning
"Medical Administration","Typist, Administration"
"Sales Advisor",
,Chef
"Project Officer,Project Officer,Project officer Criminal Justice,Data Integrity Officer,Data Integrity Officer,Delivery Driver/ service rep.,Sales and Service Representative,Van delivery driver,Security guard,Publican,Statistical Assistant,Statistical Assistant,Wholesale meat salesman,Store manager","Administration, Project work, Delivering"
"magazine picker","Warehousing, Order picking"
,Barber
,"Warehouse op, Drivers mate"
"Self employed painter and decorator","Painter and decorator, Handyman"
"Customer Assistant,Shop Assistant,Barmaid,Product Photographer & Quality Control","Psychologist, Support Work (mental health support), Photographer"
"Cleaner,Retail assistant,Ground worker",
"Production and Warehouse",
"Warehouse Operative",
"PA,PA",
,"Social Care, Mental Health"
"Warehouse operative","Warehouse op, Warehouse operative, Warehouse operative, Warehouse operative"
"Warehouse operative","Picking, Packing, Cleaning"
,"IT, Warehouse, Bartender"
"Hairdresser,Care",Hairdresser
"Cleaner,House keeper,School cleaner","Cleaner, Work with animals, Support worker"
,"Barber, Restaurant"
"health advisor,Passenger assistant,sales advisor","caseworker, admin"
"sandwich artist - customer service",
"Bar tender","Bar tender, Delivery driver"
"car wash","Packing, unpacking, masonry work"
"Executive Officer,Digital Project Manager,Senior Project Compliance officer,Project manager,Senior Liason Officer","Administration, Project Support, Project Compliance"
"Card Factory / Sales Assistance,sales assistance","Sales assistance, Customer service, Cleaning"
"stock assistant,marshall/mechanic","mechanics, electrician, fire fighter"
"Hygiene Operative",
,Ca
"Picker/Packer,Packer","Warehouse operative, Care assistant"
"joiner,labourer,courier",courier
"internship,freelance,Graphic Designer","Graphic Designer, Marketer, Digital Media Designer, Multimedia Designer, Photographer"
,"Barber, Security, Training"
Labourer,"Dumper Driver, Labourer, Delivery driver"
,"Warehouse work, Supermarkets, Security"
"meat packing","packing, production line, phisical work"
,"Care Assistant, Waitress, Retail"
"Teaching Children","Data Entry, Sewing Machinist"
"Night porter,Consturction","Self employed childminding"
"Admin,Hospitality,Cleaning,Teaching assistant,Warehouse",
,"Typist, Warehouse operative, Production operative"
"Spiral operative,Chef","Heaving lifting, Forklift, Office, Mechanic, Superbike racing"
"Property maintenance",
"Cleaner,Cleaner,Cleaner,Cleaner","Cleaner, Labourer, Wearhouse"
"Designer,Creative Brand Strategist,Amazon Warehouse Operative","Creative Brand Strategist"
"Quality Assurance Agent,Shop Assistant,Call Centre Salesman,Retail Store Assistant",
Labourer,
"Picker/ packer",
,"Mechanical, Warehouse, Car"
Marketing,
"Glass collector,Warehouse work",
"CSSD Coordinator,Cashier,Dental Nurse,Receptionist","Teaching Assistant, School Admin, Receptionist"
Electrician,"Electrical installations, Construction work, Maintenance work"
"shop assistant","packing, caring, teacher assistant"
"Self Employed","IT Consultant, Automation Engineer"
"Social Media Intern","Assistant Librarian, Bookseller"
"Warehouse,Team Leader Warehouse","Lunch Supervisor, Anthing relating to schools"
"Retail assistant,Assistant,Assistant manager",Retail
"bartender,Support worker,Support worker,Helpdesk Support Technician",
"N/A","Teaching, Medical"
"Delivery driver,Cake maker,Cleaning & housekeeping,Retail assistance,Care Worker","Domestic cleaner & housekeeper, Retail customer service, Warehouse operative, Care worker, Foodstuff operative"
,"Warehouse Operative"
"I am unemployed","Teaching assistant, Catering /waiting, Care Assistant /Support worker, School Supervisor, Cleaning, Administration, Retail, Management"
Farmer,"Cleaning assistant, Kitchen assistant"
"Claims Handler,Retail Assistant,Apprentice Underwriter,Underwriter,Customer Assistant,Customer Service Operations & Planning Administrator,Customer Assistant,Commercial Underwriter,Apprentice Assistant Market Underwriter","Retail, Call Centre, Warehouse"
,"Retail assistant, bar tender"
"Tarmac operations,Ground worker","Grand woker"
,"IT SUPPORT, IT SERVICES, IT ADMIN"
,"Lunchtime supervisor"
"Van Driver,Warehousing Supervisor,Plumbing/Gas Engineers Mate","Apprentice Bricklayer, Apprentice Electrician, Apprentice Plasterer"
"Order Picker",
"Cleaner,Handy man painting and carpentry",Cleaning
Labourer,"Construction - Labourer, Warehouse Operative, Sports Coaching"
"Cleaner,Sales assistant,Sales assistant",Cleaning
"Parcel sorting,Assistant Supervisor packing picking","WAREHOUSE, PACKER, PRODUCTION LINE"
Housewife,"Warehouse Operative, Retail asssistant"
"Window fitter",
"Car Delivery Driver,Business Development on Energy & Lighting Projects,Business Development Manager - Energy saving Lighting,General Manager for a Lighting Manufacturer,National Sales Manager - Lighting Company","Client Liaison, Customer relations, A good communicator/mentor"
driver,
"Cafe Assistant,Waiter","Graphic Designer, Concept Artist"
"Picker/packer",Bricklaying
"Warehouse Colleague,Warehouse Operative,Factory Worker,Night Shift Copy Consultant,DD Specialist","Any job that I can physically capable of"
"Account Mabager,Global Project Manager,Senior Account Manager","Senior Account Manager, Project Manager, Customer Sucess Manager"
,"Hospitality, Retail, Customer Service, Receptionist"
"Sales Assistant,Sales Assistant","Sales Assitant"
"Warehouse operative","Gardening, Animals"
"lecturer in Art and Design",
Entertainer,"Accountants work, Customer Service"
"Shop Assistant,Shop Assistant","Shop Assistant"
"Veterinary care assistant,Cleaner,Veterinary care assistant,Admin/reception",
"Pipe fitting","mechanic - HGV"
"Armed Forces,Home Insurance,SALES ADVISOR","Security Guard"
"passenger assistant,care assistant","care, teaching, childcare"
"I am unemployed","Teaching assistant, Catering /waiting, Care Assistant /Support worker, School Supervisor, Cleaning, Administration, Retail, Management"
Farmer,"Cleaning assistant, Kitchen assistant"
Gardener,
"warehouse operative,labourour,forklift driver","forklfift driver"
"Driver,Warehouse/driver,warehouse/supervisor","driver, warehouse, supervisor"
housekeeping,"Housekeeping, Picking and packing"
"Cleaning,Assembly work","Cleaner, Concept Artist"
"sales assistant",gardening
"Delivery driver,Asda,Subway,Factory",
"Grocery assistant,Baker",
"Receptionist,Beautician","Beautician, Receptionist, Anything I am able to do."
Barista,"Hospitality, Agriculture, Retail"
,"Research following the completion of my PhD"
"Office Assistant",
"Retail assistant,Care assistant,crew member","Care assistant, Social worker, Beauty"
"Cleaner,Cleaning",
"housekeeping,Advertising/PR Manager,Chief Sales Manager","Library assistant, Care work"
cleaner,"cleaner HNS"
Labouring,
"Housekeeping assistant,Housekeeping supervisor,Picker packer,Housekeeping Supervisor","Housekeeping Supervisor, Head Housekeeper, Warehouse assistant, Order Picker"
"Machine Operator,Maintenance",
"complete lettings / Labouring houses","Delivery Driver, Labouring, Warehouse / picking packing"
"Cleaner,Cleaner,Volunteer at BHF",
"landscape gardening,PRINTING CARPET TILE MATS",
"Quality assurance coordinator","Quality assurance supervisor, Quality assurance technician"
"Project Support Officer","Civil Service, NHS"
"Scrap Merchant",
"Fork lift Driver/Team Leader","Fork lift driver"
"lorry unloader","railway, warehouse, sales"
"Construction -Scaffolding",
"Health care assistant",Caring
"legal administrator","Office Assistant, Administrator, Graduate positions"
"Supervisor at Cleaning",Cleaning
"Warehouse,Security Guard","Call Centre, Customer Service, Security"
Warehouse,
Cleaner,"Warehouse Operative, Warehouse Picken Packen"
"Assistant Level Crossing Manager,Trainee Freight Train Planner","Anything railway related that isn't track maintenance or office based."
"Kitchen Assistant","Domestic Assistant, Driver, Health Care Assistant"
,"Plasterer, Labouring, Construction, Warehouse Operative, Picking/Packing"
,"Self employed"
"Picking and Packing","warehouse, Picking and Packing"
Barber,
,"Personal Trainer"
"Bar Staff","Engineer, Bar staff"
"self employed plasterer",
"Family Key Worker","3rd sector, Interpreter/ translator, Paralegal"
"Shift manager","Shift manager, Manager, Admin"
"Customer Service Co-ordinator","Customer Service, Marketing, Co-ordinator"
"Takeaway,Warehouse","Warehouse, Forklift driver"
"Bar Tender  and Bar Events Manager","Event Planning"
"Cleaner we was cleaning student houses,Lourber,Cleaner,Cleaner,Warehouse","Cleaner, Warehouse picker packer, Any warehouse or cleaning work"
"Member Ambassador","Teaching Assistant, Mental Health Support Worker, Retail Assistant"
"Early years practitioner,hospitality,factory","Early years practitioner, real estate, sports- gym"
"Veterinary care assistant,Cleaner,Veterinary care assistant,Admin/reception",
"quality control","Cleaning, Supermarket shelf stacker, Retail"
,"teaching, botox/nails/hair, child carer"
Cleaner,
"Retail assistant,Warehouse operative,Customer advisor,Community Coordinator","Work from home, Retail assistant, Third sector work"
"Landscape Gardner,Picker packer",
"Waitress and barstaff,Waitress",Retail
Cleaner,"Retail, Kitchen Assistant"
Teaching,"Lecturing, Teaching, Management, Setting up my own business"
"Cafe Assistant,Bar Person","Support work young children"
"Sales,Sales assistant,Factory worker,MUM of TWO","Sales Assistant.  Done over 20 years, Shop work, Child care but not quafied"
"Teaching Assistant","Teaching Assistant, Retail, Customer Service"
"James Jones Warehouse","Warehouse, Bricklaying, Retail"
Employee,"Security, Forklift driver, Van driver"
"Customer service / Admin,Sales Manager / gym membership",
Cleaner,
IT,"office, admin, retail"
,"Make clothing"
"Retail assistant",
"Online shopping,Bar attendant,Sales assistant",
"Customer service","Cleaner, Warehouse, Retail"
"ADT Flexibles,Joule,Trainee Surveyor,Tig Welder/Fabricator,Welder/ fabricator,Drainage Engineer,Chef","TIG Welder"
"warehouse operative / flt driver reach and counter balance","office work, warehouse office work, train more on IT"
"Cafe staff,Cook",
,"Driving, LLOP PICKER, Packer, picker"
"Bar Assistant,Receptionist/Administrator,Care Assistant,Shop Assistant,Business Admin Apprenticeship,Customer Service Apprenticeship","Administration, Receptionist, Customer Service"
,"Any unskilled work, Trainee hairdresser"
"Printer,Barista",Printer
,Computers
"Warehouse Operative,Team Member",
"Office manager,Administration","Office Work"
"warehouse operative,warehouse operative,warehouse operative,warehouse operative,warehouse operative","warehouse, cleaning"
,"apprenataship, warehouse and logistics, retail, transportation"
,"Mechanical, Paying spraying, Hgv driver. Class1"
"Support Worker,Care Assistant","Support Worker, Banking, Prison Admin, Self Employed Course(work on my terms due to health)"
"Skilled labourer",
"Sales advisor,Team leader","Project support officer, Administration assistant, IT service manager/officer"
,Cleaning
,"Warehouse, Retail, Bar work"
,"Chef, Painter, Labourer"
"Warehouse Operative",
"Bench Hand Joiner","Shops Assistant, Joinery, Landscape Garden"
"Warehouse Operative",
"Restaurant assistant,Bank Clerk,Amazon Warehouse operative","Amazon, Warehouse, Door security"
"warehouse unpacking goods DHL,DHL UK mail unloading packages,cleaner","packing goods in the warehouse, cleaning, cook help work in the kitchen"
"Refuse collect worker,Site worker","Warehouse Operative, Production Operative, Logistics Associate"
"sewing machinist",
"Landscape Gardener","Landscape Gardener, Bartender"
,Retail
"Retail checkout assistant,Customer services",
"English and Maths Lead","Teaching role (awaiting outcome from ACAS), Admin roles"
"Warehouse operative",
"Warehouse Operative","Warehouse Operative, Van driving"
,"Graphics design"
,"Driving, Retail, Hispitality"
"Property and garden maintenance","Joiners, Property maintenance, Garden maintenance"
"Warehouse operative","Warehouse operative"
"Kitchen assistant",
"null,Bricklaying,Steel erecting,Bricklayer",
"Building,Factory,Barrier installation,Line Supervisor","Labouring, FLT, Warehouse"
"Warehouse NEXT",
"voluntary in retail",retail
"Warehouse Operative","Retail, Warehouse Operative, Cleaner"
"Bar Staff,Bar Staff,Support Worker","Bar Staff"
"Stove sales manager,Self Employed Green grocer",
"Recruitment Department","HR jobs, Employment Advicor, Any other job you could get"
,"Construction, Driving, Engineering"
,"Warehouse jobs - hopes to move to Wakefield, I hope to move to Wakefield, and I'm happy to take any job I can do"
,"Bricklaying, labouring"
"Decorating and painting","Roofing, Driving"
,"Security manager, Security officer, Co-ordinator"
"Shop Assistant,Shop Assistant","Shop Assistant"
,"Paralegal, Legal assistant, Legal secretary"
"Health care assistant,Receptionist,Bar staff,Sales advisor",
"Warehouse production line,Warehouse picking and packing","Warehouse picking, Warehouse packing, Retail - shelf replenishment"
"Designer,Creative Brand Strategist,Amazon Warehouse Operative","Creative Brand Strategist"
"Delivery Assistant,Kitchen cleaner",
"Admin,Showrooms Customer Advisor,Phone Shop Advisor,Kitchen Assistant/Waitress,Warehouse Operative",
"Warehouse Operative,Warehouse Operative",
"Cleaner,Cleaner",
"CLEANER,CLEANER",
"Hotel staff","Warehouse, Carer, Hotel staff"
"Online Hobby Retail Specialist","Retail, Warehouse, Admin, Lettings, Sales, Customer Service"
"Production,Warehouse,Kitchen production,Farmer",
Restaurant,
"Warehouse,Decorating","Decorating, Mechanics"
"Door supervisor","Youth work, Support worker"
"Refunds Administrator,Retail Assistant,Fashion merchant - Self employed,Quality Control","Refunds Administrator, Quality Control, Customer Service Representative, Office Administrator"
"Retail Assistant,Retail assistant",
"Store Assistant,Shelf Stacker,Car Cleaner,Takeaway assistant",
"Pizza Shop / Kitchen assistant,Warehouse",
"self employed removal man",
"Sewing machinist,Volunteer,Sewing machinist,Volunteer at ST.Vincent Charity Wakefield,Sewing machinist","Sewing machinist"
"Scrap Merchant",
"Kitchen Assistant",
"Book binder assistant,Warehouse,Carer",Warehouse
Valeter,"Valeter, Gem Instructor, Driver"
"P.E. Teacher,Hospitality waitress,Retail","Dancer teacher, Behavioural mentor, Behavioural leader"
"Lunchtime Supervisor,School Crossing Patrol,Volunteer,Volunteer helper in school,Chargehand/Supervisor,Warehouse Operative,Team Leader / Checker/Warehouse Operative","Retail Assistant, Teaching Assistant"
"Warehouse Operative - Morrisons","Warehouse Operative, Picker/ packer"
,"Mortgage advisor, Sales negotiators, Nursery assistant, Teaching assistant"
,"Customer advisor, Customer service, Receptionist"
"Waste Management","Warehouse, Cleaning, Any Job i can get"
"Shop assistant","Produkcia, Praca w sklepie"
Cleaner,
"Bar staff,Sales assistant,Sales assistant,Sales assistant",
"Multi trade apprentice",
,"Sports coach"
"Passenger Assistant",
"Private Hire Driver,Private hire driver,Teaching assistant,Project worker / sports coach,Baker,Shop associate","Driving jobs school runs, Sports coach"
"Care Assistant","Support worker, Care assistant, Retail work"
,"Administrator, Receptionist, Customer service advisor"
"Support worker,Support Worker",
,"Construction, Army, Farmer"
"Supervisory assistant,Admin","Supervisory assistant"
,"photography, Retail"
"Team member,Shop assistant","Customer service"
Construction,Construction
"ground working","brick laying, ground work, pipes"
,"Apprenticeship, Office job"
"Next Warehouse","Construction, Railway, Warehouse"
,"work with animals., retail, tattoo shop"
"EARLY YEARS EDUCATOR",
Barber,Barber
,"Labourer, Groundwork, Maintenance"
Janit,"Warehouse, Janitor"
"Business Development Manager",
Labouring,
Warehouse,
"house renovating",
,"Roadworker, Labourer, Warehouse operative"
Joiner,Security
"temprey structure engineer","Temporary structures"
"Assistant Manager",
"Warehouse Operative,Warehouse Operative,Warehouse Operative,Warehouse Operative,Warehouse Operative","Shop Asistant, Cleaner, Care home"
"Teaching Assistant,Teaching Assistant,Beauty Therapist","Teaching assistant"
Cleaner,"Cleaner, Kitchen assistant, Care assistant"
"Picker/ packer,Warehouse Operative",Packer
,"Cleaning, Packing, Warehouse"
,"Sales Make-up Artist"
,"Warehouse operative, Warehouse operative, Eventually get my business going properly"
"HGV DRIVER",
,"security evets, warehouse, retail"
,"Brick laying, Joiner"
"Cleaning Operative,Customer Service,Bar Tending,Waitressing","Customer Service"
"Customer service","Work form home, Admin, Customer service"
Cleaner,
"Retail assistant,Care assistant,crew member","Care assistant, Social worker, Beauty"
"Warehouse,Retail,Cashier","Driving, Sales/retail, Office"
,"Warehouse, Labourer, Ipaf operator"
"Team Member,Front of house,Skip company aid","Customer Service"
warehouse,"warehouse, cleaning, packing"
"Labourer,Warehouse,Roofer",
clener,
"Warehouse (3 month contact),Mcdonalds team member","Computers/ Games design, Warehouse, Retail"
"Stewarding - Security","SE Builder/Gardener"
"general admin (apprenticeship),till worker","administration, childcare support jobs, receptionists"
"Junior Seller,Store assistant","Customer Service, Retail, Animals, Admin, Receptionist"
"warehouse operative,warehouse operative",
"Fast food chef",
"Warehouse operative,Senior carer,Warehouse operative","Senior carer, Warehouse operative"
"Not worked before",
waitress,
,"Animal Care, Cleaning, Retail"
"Operative line",
"Kitchen catering,Dinner supervisor","School catering, Dinner supervisor, Playground supervisor"
,"Apprentices jobs like mechanic etc, Landscaping / gardening, Building work, Warehouse Operative jobs"
"Cleaner,Tiling,Bricklaying,Warehouse operative",Cleaner
"Warehouse operative",
"Shop Assistant: Charity Shop,Shop Assistant: Tailoring Shop,Admin : Printing Shop,Shop Assistant: Debenhams,Shop Assistant: Sainsbury's","Shop Assistant, Admin Assistant"
"Production operative",Retail
,"Cleaning, Warehouse Operative"
,"Retail Assistant"
Construction,"Retail Assistant, Customer Service Assistant, Sales Assistant"
,"Retail, Warehouse and shop work, Shelf filler"
"SPAR Food-to-Go Assistant,Burger King Team Member","Care Helper/Assistant, Data Management, Retail Work"
,"Construction Site Management, Construction Labouring, Construction Project Management, Retail Assistant"
,"Joiner, Landscaper, Warehouse"
,"Factory work"
Warehouse,
"New Homes Sales Consultant,Senior Sales Consultant,New Homes Sales Consultant","Office Work, Selling New Homes, Wakefield Council"
"Warehouse / picking & packing,ventilation insolation,Trader","Passive fire engineer, Passive fire surveyor, Construction worker"
Construction,"Warehouse, Driving, Distribution centre"
,"Web Developer, Data Analyst, I.T related jobs"
"Lunchtime/After school Supervisor","Teaching assistant, Dance Teacher, Bar Work"
"Student social worker","Social worker, Council, Health"
Cook,
"Mechanical engineer,Joiner,Electrician","Electrician, mechanical engineer, Construction"
Carer,
"Sales Specialist,Merchant Services","Merchant Services, Field sales"
"warehouse administrator","Aministrator, Fork lift"
"Ice cream man","Ice cream man"
bricklayer,"bricklayer, plasterer"
"Wood works,Car valeting,Mechanic","Bike mechanic, Warehouse workers night shift"
,"Media/IT, Hospitality"
"Bakery operative","Bakarey, Food control, Picking and packing"
"Relief manager,Sandwich shop,Coffee shop",
"private hire driver",
"Bed Factory","cleaner, packer, warehouse"
,"Warehouse, support work, teaching"
"packing shirts",
"Fish and Chip shop","Retail, Working with Animals"
"Labourer,Labourer","Cscs card jobs, Cscs labouring jobs, Construction jobs"
,"Ward clerk, Admin"
,"Administration, Retail, Warehouse, Receptionist"
Packing,"Cleaner, beautician, Baby sitter"
"sales assistant,Cafe assistant","Tattooing, Cleaning, Retail"
"Ground worker","Warehouse operative"
"Delivery driver,Taxi driver,Textile worker","Delivery driver"
"Warehouse Trainer,Warehouse Team leader","Team leader, Manager, Human Resources, Warehouse operative, receptionist"
,"retail, buisness"
Packer,"Packer, Lunchtime Supervisor"
"Online Hobby Retail Specialist","Retail, Warehouse, Admin, Lettings, Sales, Customer Service"
"warehouse operative",
,"Receptionist, Call centre, Retail"
,"Factory, Care"
"Landscape  Gardener",
"Volunteer Reception/advice/ assessor,financial administrator","Citizens Advice, Financial, Administration"
,"Warehouse, Landscaping, Roofing"
,"bricklaying, roofing, tiling"
"Security officer","Security, Labourer"
"Volunteer Treasurer",
"Cleaner,Cleaner",
"Call handler,Changing room attendant,Concession supervisor",
"Bakery operative","Bakery operative, Warehouse, Factory"
"Eden Place residential care home volunteer,British Heart Foundation volunteer","Receptionist, Retail, Admin"
,"Deck Sailor, Driver, Cleaner"
"Warehouse / picking packing,Joinery","Joinery, Driving, Operative, Warehouse admin"
"Sales advisor",
Butcher,"Warehouse, Driving FLT, Driver"
,"Waitress, server, front of house, retail assistant, crew team member, warehouse"
Cashier,
"Engineer Assistant nights",
"Recycling Operative,Section Manager",
Sawing,
"Drivers mate","Warehouse, Factory, Labouring"
"Ground worker,Warehouse / picking packing",
"Maintenance man",
"Caring,Kitchen,Warehouse,Sales assistant",Warehouse
"Teacher in a mosqe,Hmp,Quality and Safety admin nhs,Business admin NatWest","Teaching assistant, Admin"
"Amazon,Pot washing",Warehouse
"Cleaner,Retail assistant,Ground worker",
"HGV Driver,Production Operative",
Subway,"Hairdressing, Office work, Carework"
"Sales,Argos Retail / Customer service,Construction","Customer service / Admin, Construction CSCS, Retail"
"Retail assistant",
"Warehouse operative,Machine operating,Order packing","Warehouse picking, Warehouse packing"
"Factory Operative",
"picking and packing,warehouse,labouring",
Potwashing,"Electrician, Joiner"
"Retail / stacking shelfs","Administrative, Purchasing, Receptionist"
"Bar staff,graphic designer,artist,Interior designer",
"Stores Assistant,Reception,Retail assistant","Animal Care, Receptionist"
"Youth Worker,Web Designer","Administrator, Business Development Assistant"
"Bar Staff","Engineer, Bar staff"
"Sales advisor",
"First Response Admin,HMPO Agent,English Teacher","Business Development Manager, CRM Specialist / Manager, Account Manager"
"Amazon Driver,Cleaning","valeting, delivery driving, Engine work / Mechanic"
"Care assistant,Health Care Assistant",
Tiling,tiling
"Warehouse,Retail,Cashier","Driving, Sales/retail, Office"
"Team Member,Front of house,Skip company aid","Customer Service"
"Sales,Sales assistant,Factory worker,MUM of TWO","Sales Assistant.  Done over 20 years, Shop work, Child care but not quafied"
"pensioneer,administrator,accountant","retail associate, service associate, office temp"
"Construction Work experience,Charity shop work","Open to anything"
"health advisor,Passenger assistant,sales advisor","caseworker, admin"
"Picker/ packer,Warehouse Operative",Packer
"Customer service","Work form home, Admin, Customer service"
"Cafe Assistant,Waiter","Graphic Designer, Concept Artist"
"Warehouse operative,Picker/packer,Festival staff - temp job",
"Mcdonalds Crew Member,Waiter","Warehouse Packing, Kitchen Staff, Data Entry"
"Food truck operator","Warehouse, Retail, Factory"
"Factory Worker,Labourer","Construction Worker"
"Balustrade,Labour,Pattern Concreter",
Barber,Barbering
Farmer,
"bed manufacturing","Light picking and packing work"
Packer,"Picking and packing"
"Picker and Packer,Production operative",
"General worker.,Bar manager,Hgv driver 25 years",
,"nail technician, warehouse, hospitality, shop/retail"
"Shop assistant","Retail, Warehouse, Picker packer"
"Removals Porter",
warehouse,
,"Teaching Assistant, Nursery Care, Retail / stacking shelfs"
"Domestic worker","Cleaner, Care assistant"
"Senior Customer service advisor,Cashier",
"Warehouse operative /Inbound  Support Service,Parcel sorter",
Director,"Architect, Project management"
"passenger assistant,care assistant","care, teaching, childcare"
supervisor,"retail, management, supervisor"
"transport supervisor","Security, Cctv, Warehouse"
"Amazon,Ypo,Morrisons","Picker, Packer, Any"
"pick carts","Clining, Pick, Paking"
Picker,"Warehouse Operative, Bar Staff, Admin"
,"Picking packing, cleaning, painting"
"Managing Director","Support worker"
,"Senior management - corporate retail environment, Management strategic financial/operations, Commercial strategy consultant"
,"Teacher assistant, Warehouse operative, Beauty salon assistant"
"Warehouse operative,Warehouse","Delivery Driver, Warehouse Operative"
"Machine Operator,Delivery Driver,Technician 1,Warehouse Operative,IT Team,Warehouse Operative,Warehouse Operative,Delivery Driver,IT Apprentice","Trade Plate Driver, Delivery Van Driver, HGV Driver"
Barber,"IT, Cleaning, Retail, barber"
"Out of School Club Assistant",
"Warehouse / Loading stock,Care assistance","Care assistant, Warehouse, Retail / stacking / night shifts, Driver mate"
"Caring,Kitchen,Warehouse,Sales assistant",Warehouse
Warehouse,"Warehousing, Loading/ unloading, Retail"
"Business Administration Apprentice","IT, Cyber Security, Digital Support, Business Administration, Customer Service"
"Cleaner,Cleaning",Cleaning
,"Warehouse, Production, Telecommunications"
"Director of limited company",
Programmer,"Programmer, Developer"
"CLASS 2 CONCRETE MIXER DRIVER,CLASS 2 CONCRETE MIXER DRIVER","2nd class driver"
"Sheet Metal Fabrication Engineer,Copper Smith (making copper boilers for houses)",
Baker,"Kitchen assistant, Cleaner"
"Assembly work",
"bartender,sales assistant,wearhouse operative",
,barber
"Press Brake Operator",Driver
,"driver, security, retail"
"Operational Support",
"Kitchen Prep","Kitchen porter"
"Safety Steward","Journalist, Content Writer, Marketing, Social Media"
"Associate Tools Developer","Programming work with C#"
,"Barbering, Teaching assistant for special needs, Customer service"
"Purchasing Manager,Retail Manager (independent small comic shop)","Office Admin., Retail"
,"Fencing, Groundwork, Tree work/ gardening"
,"retail, office"
"warehouse operative","warehouse operative, logistics coordinator"
"Labouring,Wearhouse","CSCS, Wearhouse, Retail"
Carer,"Warehouse, Gardening, Any suitable roles"
"Warehouse/Forklift Truck Operative,Mechanic Welder",
,"Level designer, Game asset artists, Graphic designer, Customer service"
,"Cleaning, Cleaning, Cleaning"
"Groundworks,Yard Operative,Yard Operative","Yard Operative, Warehouse Operative"
Cleaner,
"Drivers mate","Warehouse, Factory, Labouring"
Retail,
"Sales advisor",
"Lunch time assistant",
Cleaning,
"Pizza Chef",
"SPRAYING SLATES/ TAKING THEM OFF ROOFS,YARD MAN FLT",
"Labouring,Construction Work,Plumbing",Plumbing
"Customer Service Administrator,Lunchtime supervisor,Administrator,Administrator,Administrator",Admin
"Kitchen Porter","Hospitality, Warehouse, Construction"
"Bar tender,Catering,Retail","DELIVERY, SECURITY"
"Warehouse Operative,Warehouse Operative,Warehouse Operative,Warehouse Operative","Warehouse Operative"
"nursery practitioner",
"Finance Administrator,General Ledger and Fixed Assets Assistant","Finance assistant, Finance analyst"
"Assistant residential officer,Security supervisor",
"warehouse picking and packing,Cleaner","Cleaner, Warehouse operative"
Picker,"Warehouse operative, Llop driver, Cleaner"
,Engineer
"Shelf stacker","Web Developer, Web Design, front end web developer"
,"Nursery worker, Nursery practitioner"
"Tyre fitter,Center manager,Commercial tyre fitter","Tyre fitter"
"Auto electrician,Labourer,Packing Make Up,Picture Framing","Gardening, Electrician Based Work"
,"leisure, hospitality, retail"
Butcher,"Factory Butchery, temp warehouse, Army"
"warehouse operative,Warehouse Operative",warehouse
"Claimant has not worked",
,"IT field: software dev, IT field: IT technician, Design field: digital marketing officer"
"Warehouse worker",
